epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,534.929,0.97636,1.06435,1.11263,0.81061,0.43601,0.51355,0.35852,1.18553,1.03597,1.27639,0.000111607,0.000111607,0.000111607
43,547.269,0.9425,1.0459,1.09206,0.7923,0.4468,0.51332,0.35682,1.18905,1.04769,1.28399,0.000105915,0.000105915,0.000105915
44,559.652,0.94569,1.03257,1.10067,0.83505,0.43128,0.52375,0.35215,1.18339,1.0392,1.28869,0.000100222,0.000100222,0.000100222
45,572.216,0.97087,1.0419,1.09121,0.78799,0.44515,0.52986,0.36886,1.18341,1.0431,1.28488,9.453e-05,9.453e-05,9.453e-05
46,584.417,0.94749,1.01027,1.08196,0.77884,0.45033,0.51976,0.36262,1.17654,1.07171,1.28328,8.88375e-05,8.88375e-05,8.88375e-05
47,596.57,0.91866,1.01656,1.09068,0.79403,0.44159,0.52141,0.36746,1.17968,1.05113,1.28183,8.3145e-05,8.3145e-05,8.3145e-05
48,608.297,0.92736,1.00826,1.08213,0.83541,0.43325,0.52403,0.36902,1.17601,1.03356,1.27608,7.74525e-05,7.74525e-05,7.74525e-05
49,620.27,0.9347,1.01505,1.08944,0.81597,0.42978,0.5247,0.37081,1.17722,1.03105,1.26983,7.176e-05,7.176e-05,7.176e-05
50,632.845,0.90531,0.97606,1.08639,0.79096,0.44402,0.51929,0.35533,1.16808,1.02258,1.25844,6.60675e-05,6.60675e-05,6.60675e-05
51,647.34,0.95481,1.17296,1.08437,0.71263,0.47121,0.52076,0.35158,1.19665,1.05187,1.2886,6.0375e-05,6.0375e-05,6.0375e-05
52,659.938,0.92227,1.08987,1.06863,0.7509,0.44277,0.51958,0.35173,1.19299,1.05832,1.29769,5.46825e-05,5.46825e-05,5.46825e-05
53,671.817,0.90161,1.03794,1.04982,0.7203,0.45118,0.52418,0.35277,1.19388,1.05155,1.30671,4.899e-05,4.899e-05,4.899e-05
54,684.17,0.88286,1.02014,1.04459,0.75775,0.45271,0.52217,0.35228,1.1894,1.04156,1.29853,4.32975e-05,4.32975e-05,4.32975e-05
55,696.372,0.86852,1.00135,1.04408,0.77594,0.44948,0.51747,0.36567,1.17554,1.02765,1.28283,3.7605e-05,3.7605e-05,3.7605e-05
56,708.213,0.86629,1.0243,1.04246,0.82501,0.42852,0.52142,0.36839,1.16387,1.02042,1.27323,3.19125e-05,3.19125e-05,3.19125e-05
57,720.849,0.87812,0.99557,1.02541,0.81016,0.43009,0.52503,0.36809,1.17645,1.02426,1.28071,2.622e-05,2.622e-05,2.622e-05
58,732.969,0.87057,0.99646,1.034,0.69558,0.47404,0.53831,0.36955,1.1726,1.01495,1.27812,2.05275e-05,2.05275e-05,2.05275e-05
59,745.3,0.85558,1.00246,1.03794,0.68472,0.49301,0.54247,0.373,1.17081,1.01041,1.27723,1.4835e-05,1.4835e-05,1.4835e-05
60,757.47,0.85484,0.974,1.02437,0.69404,0.48184,0.5446,0.37277,1.1737,1.00917,1.27909,9.1425e-06,9.1425e-06,9.1425e-06
